Year,Week,Crest,Colgate
1958,1,0.108,0.424
1958,2,0.166,0.482
1958,3,0.126,0.428
1958,4,0.115,0.397
1958,5,0.119,0.352
1958,6,0.176,0.342
1958,7,0.155,0.434
1958,8,0.118,0.445
1958,9,0.136,0.428
1958,10,0.137,0.395
1958,11,0.124,0.354
1958,12,0.131,0.497
1958,13,0.12,0.425
1958,14,0.133,0.401
1958,15,0.067,0.363
1958,16,0.086,0.341
1958,17,0.14,0.464
1958,18,0.122,0.431
1958,19,0.105,0.405
1958,20,0.079,0.46
1958,21,0.13,0.41
1958,22,0.142,0.423
1958,23,0.12,0.31
1958,24,0.115,0.413
1958,25,0.103,0.411
1958,26,0.078,0.452
1958,27,0.093,0.405
1958,28,0.086,0.29
1958,29,0.099,0.342
1958,30,0.078,0.311
1958,31,0.095,0.327
1958,32,0.094,0.413
1958,33,0.056,0.4
1958,34,0.05,0.38
1958,35,0.065,0.371
1958,36,0.091,0.344
1958,37,0.094,0.345
1958,38,0.124,0.363
1958,39,0.153,0.392
1958,40,0.078,0.379
1958,41,0.114,0.349
1958,42,0.088,0.337
1958,43,0.165,0.235
1958,44,0.16,0.25
1958,45,0.075,0.36
1958,46,0.118,0.282
1958,47,0.1,0.257
1958,48,0.102,0.345
1958,49,0.131,0.344
1958,50,0.148,0.358
1958,51,0.137,0.322
1958,52,0.09,0.332
1959,1,0.088,0.315
1959,2,0.172,0.316
1959,3,0.111,0.341
1959,4,0.097,0.387
1959,5,0.098,0.402
1959,6,0.09,0.347
1959,7,0.127,0.414
1959,8,0.116,0.426
1959,9,0.137,0.322
1959,10,0.111,0.372
1959,11,0.107,0.381
1959,12,0.097,0.339
1959,13,0.134,0.405
1959,14,0.16,0.304
1959,15,0.147,0.439
1959,16,0.104,0.336
1959,17,0.128,0.405
1959,18,0.128,0.359
1959,19,0.165,0.379
1959,20,0.184,0.303
1959,21,0.172,0.34
1959,22,0.207,0.312
1959,23,0.221,0.291
1959,24,0.159,0.259
1959,25,0.198,0.342
1959,26,0.197,0.458
1959,27,0.251,0.275
1959,28,0.146,0.34
1959,29,0.133,0.385
1959,30,0.243,0.338
1959,31,0.192,0.37
1959,32,0.15,0.29
1959,33,0.221,0.325
1959,34,0.183,0.337
1959,35,0.136,0.338
1959,36,0.206,0.323
1959,37,0.127,0.357
1959,38,0.139,0.381
1959,39,0.189,0.371
1959,40,0.194,0.294
1959,41,0.114,0.384
1959,42,0.229,0.286
1959,43,0.148,0.335
1959,44,0.155,0.31
1959,45,0.106,0.304
1959,46,0.156,0.305
1959,47,0.053,0.403
1959,48,0.112,0.365
1959,49,0.084,0.305
1959,50,0.191,0.172
1959,51,0.149,0.321
1959,52,0.143,0.343
1960,1,0.094,0.354
1960,2,0.184,0.316
1960,3,0.205,0.292
1960,4,0.206,0.305
1960,5,0.191,0.294
1960,6,0.195,0.289
1960,7,0.179,0.301
1960,8,0.272,0.304
1960,9,0.203,0.306
1960,10,0.165,0.405
1960,11,0.138,0.344
1960,12,0.216,0.353
1960,13,0.132,0.383
1960,14,0.12,0.349
1960,15,0.083,0.374
1960,16,0.118,0.411
1960,17,0.125,0.287
1960,18,0.109,0.42
1960,19,0.119,0.47
1960,20,0.154,0.354
1960,21,0.122,0.392
1960,22,0.126,0.421
1960,23,0.126,0.435
1960,24,0.13,0.424
1960,25,0.158,0.344
1960,26,0.141,0.369
1960,27,0.145,0.364
1960,28,0.127,0.386
1960,29,0.171,0.406
1960,30,0.152,0.439
1960,31,0.211,0.345
1960,32,0.309,0.291
1960,33,0.242,0.292
1960,34,0.38,0.249
1960,35,0.362,0.283
1960,36,0.328,0.301
1960,37,0.359,0.28
1960,38,0.352,0.251
1960,39,0.322,0.303
1960,40,0.333,0.274
1960,41,0.365,0.328
1960,42,0.367,0.244
1960,43,0.305,0.323
1960,44,0.298,0.288
1960,45,0.307,0.293
1960,46,0.318,0.321
1960,47,0.28,0.33
1960,48,0.298,0.273
1960,49,0.336,0.304
1960,50,0.339,0.292
1960,51,0.344,0.251
1960,52,0.31,0.35
1961,1,0.317,0.302
1961,2,0.369,0.306
1961,3,0.32,0.272
1961,4,0.29,0.296
1961,5,0.361,0.265
1961,6,0.235,0.364
1961,7,0.32,0.284
1961,8,0.337,0.33
1961,9,0.289,0.351
1961,10,0.339,0.336
1961,11,0.187,0.383
1961,12,0.414,0.214
1961,13,0.373,0.26
1961,14,0.265,0.298
1961,15,0.316,0.248
1961,16,0.245,0.308
1961,17,0.328,0.356
1961,18,0.368,0.278
1961,19,0.287,0.314
1961,20,0.369,0.214
1961,21,0.406,0.253
1961,22,0.316,0.287
1961,23,0.362,0.238
1961,24,0.308,0.253
1961,25,0.286,0.336
1961,26,0.42,0.255
1961,27,0.299,0.249
1961,28,0.383,0.195
1961,29,0.354,0.269
1961,30,0.418,0.201
1961,31,0.425,0.184
1961,32,0.445,0.203
1961,33,0.408,0.193
1961,34,0.282,0.322
1961,35,0.41,0.261
1961,36,0.425,0.183
1961,37,0.358,0.289
1961,38,0.393,0.243
1961,39,0.375,0.302
1961,40,0.273,0.35
1961,41,0.237,0.401
1961,42,0.331,0.332
1961,43,0.335,0.351
1961,44,0.395,0.28
1961,45,0.357,0.308
1961,46,0.296,0.299
1961,47,0.307,0.199
1961,48,0.39,0.283
1961,49,0.298,0.333
1961,50,0.381,0.233
1961,51,0.354,0.296
1961,52,0.436,0.267
1962,1,0.357,0.253
1962,2,0.427,0.239
1962,3,0.432,0.155
1962,4,0.45,0.247
1962,5,0.53,0.201
1962,6,0.431,0.266
1962,7,0.42,0.29
1962,8,0.411,0.231
1962,9,0.423,0.255
1962,10,0.433,0.242
1962,11,0.393,0.271
1962,12,0.389,0.266
1962,13,0.387,0.244
1962,14,0.439,0.204
1962,15,0.421,0.213
1962,16,0.363,0.295
1962,17,0.401,0.254
1962,18,0.394,0.242
1962,19,0.459,0.228
1962,20,0.441,0.181
1962,21,0.388,0.264
1962,22,0.373,0.277
1962,23,0.385,0.284
1962,24,0.314,0.248
1962,25,0.347,0.28
1962,26,0.408,0.249
1962,27,0.341,0.279
1962,28,0.361,0.282
1962,29,0.414,0.267
1962,30,0.38,0.252
1962,31,0.274,0.19
1962,32,0.352,0.284
1962,33,0.439,0.207
1962,34,0.355,0.327
1962,35,0.435,0.259
1962,36,0.408,0.286
1962,37,0.383,0.275
1962,38,0.357,0.244
1962,39,0.374,0.341
1962,40,0.366,0.331
1962,41,0.346,0.25
1962,42,0.381,0.22
1962,43,0.329,0.293
1962,44,0.474,0.205
1962,45,0.397,0.254
1962,46,0.436,0.268
1962,47,0.417,0.211
1962,48,0.43,0.203
1962,49,0.388,0.271
1962,50,0.453,0.29
1962,51,0.316,0.323
1962,52,0.414,0.253
1963,1,0.396,0.23
1963,2,0.42,0.22
1963,3,0.432,0.235
1963,4,0.453,0.228
1963,5,0.43,0.216
1963,6,0.327,0.324
1963,7,0.388,0.268
1963,8,0.377,0.257
1963,9,0.466,0.194
1963,10,0.478,0.212
1963,11,0.365,0.218
1963,12,0.472,0.216
1963,13,0.399,0.276
1963,14,0.391,0.19
1963,15,0.473,0.249
1963,16,0.384,0.172
