ppm,Month,Time
315.42,Jan,1959.00
316.32,Feb,1959.08
316.49,Mar,1959.17
317.56,Apr,1959.25
318.13,May,1959.33
318,Jun,1959.42
316.39,Jul,1959.50
314.66,Aug,1959.58
313.68,Sep,1959.67
313.18,Oct,1959.75
314.66,Nov,1959.83
315.43,Dec,1959.92
316.27,Jan,1960.00
316.81,Feb,1960.08
317.42,Mar,1960.17
318.87,Apr,1960.25
319.87,May,1960.33
319.43,Jun,1960.42
318.01,Jul,1960.50
315.75,Aug,1960.58
314,Sep,1960.67
313.68,Oct,1960.75
314.84,Nov,1960.83
316.03,Dec,1960.92
316.73,Jan,1961.00
317.54,Feb,1961.08
318.38,Mar,1961.17
319.31,Apr,1961.25
320.42,May,1961.33
319.61,Jun,1961.42
318.42,Jul,1961.50
316.64,Aug,1961.58
314.83,Sep,1961.67
315.15,Oct,1961.75
315.95,Nov,1961.83
316.85,Dec,1961.92
317.78,Jan,1962.00
318.4,Feb,1962.08
319.53,Mar,1962.17
320.41,Apr,1962.25
320.85,May,1962.33
320.45,Jun,1962.42
319.44,Jul,1962.50
317.25,Aug,1962.58
316.12,Sep,1962.67
315.27,Oct,1962.75
316.53,Nov,1962.83
317.53,Dec,1962.92
318.58,Jan,1963.00
318.92,Feb,1963.08
319.7,Mar,1963.17
321.22,Apr,1963.25
322.08,May,1963.33
321.31,Jun,1963.42
319.58,Jul,1963.50
317.61,Aug,1963.58
316.05,Sep,1963.67
315.83,Oct,1963.75
316.91,Nov,1963.83
318.2,Dec,1963.92
319.41,Jan,1964.00
320.07,Feb,1964.08
320.74,Mar,1964.17
321.4,Apr,1964.25
322.06,May,1964.33
321.73,Jun,1964.42
320.27,Jul,1964.50
318.54,Aug,1964.58
316.54,Sep,1964.67
316.71,Oct,1964.75
317.53,Nov,1964.83
318.55,Dec,1964.92
319.27,Jan,1965.00
320.28,Feb,1965.08
320.73,Mar,1965.17
321.97,Apr,1965.25
322,May,1965.33
321.71,Jun,1965.42
321.05,Jul,1965.50
318.71,Aug,1965.58
317.65,Sep,1965.67
317.14,Oct,1965.75
318.71,Nov,1965.83
319.25,Dec,1965.92
320.46,Jan,1966.00
321.43,Feb,1966.08
322.22,Mar,1966.17
323.54,Apr,1966.25
323.91,May,1966.33
323.59,Jun,1966.42
322.26,Jul,1966.50
320.21,Aug,1966.58
318.48,Sep,1966.67
317.94,Oct,1966.75
319.63,Nov,1966.83
320.87,Dec,1966.92
322.17,Jan,1967.00
322.34,Feb,1967.08
322.88,Mar,1967.17
324.25,Apr,1967.25
324.83,May,1967.33
323.93,Jun,1967.42
322.39,Jul,1967.50
320.76,Aug,1967.58
319.1,Sep,1967.67
319.23,Oct,1967.75
320.56,Nov,1967.83
321.8,Dec,1967.92
322.4,Jan,1968.00
322.99,Feb,1968.08
323.73,Mar,1968.17
324.86,Apr,1968.25
325.41,May,1968.33
325.19,Jun,1968.42
323.97,Jul,1968.50
321.92,Aug,1968.58
320.1,Sep,1968.67
319.96,Oct,1968.75
320.97,Nov,1968.83
322.48,Dec,1968.92
323.52,Jan,1969.00
323.89,Feb,1969.08
325.04,Mar,1969.17
326.01,Apr,1969.25
326.67,May,1969.33
325.96,Jun,1969.42
325.13,Jul,1969.50
322.9,Aug,1969.58
321.61,Sep,1969.67
321.01,Oct,1969.75
322.08,Nov,1969.83
323.37,Dec,1969.92
324.34,Jan,1970.00
325.3,Feb,1970.08
326.29,Mar,1970.17
327.54,Apr,1970.25
327.54,May,1970.33
327.21,Jun,1970.42
325.98,Jul,1970.50
324.42,Aug,1970.58
322.91,Sep,1970.67
322.9,Oct,1970.75
323.85,Nov,1970.83
324.96,Dec,1970.92
326.01,Jan,1971.00
326.51,Feb,1971.08
327.01,Mar,1971.17
327.62,Apr,1971.25
328.76,May,1971.33
328.4,Jun,1971.42
327.2,Jul,1971.50
325.28,Aug,1971.58
323.2,Sep,1971.67
323.4,Oct,1971.75
324.64,Nov,1971.83
325.85,Dec,1971.92
326.6,Jan,1972.00
327.47,Feb,1972.08
327.58,Mar,1972.17
329.56,Apr,1972.25
329.9,May,1972.33
328.92,Jun,1972.42
327.89,Jul,1972.50
326.17,Aug,1972.58
324.68,Sep,1972.67
325.04,Oct,1972.75
326.34,Nov,1972.83
327.39,Dec,1972.92
328.37,Jan,1973.00
329.4,Feb,1973.08
330.14,Mar,1973.17
331.33,Apr,1973.25
332.31,May,1973.33
331.9,Jun,1973.42
330.7,Jul,1973.50
329.15,Aug,1973.58
327.34,Sep,1973.67
327.02,Oct,1973.75
327.99,Nov,1973.83
328.48,Dec,1973.92
329.18,Jan,1974.00
330.55,Feb,1974.08
331.32,Mar,1974.17
332.48,Apr,1974.25
332.92,May,1974.33
332.08,Jun,1974.42
331.02,Jul,1974.50
329.24,Aug,1974.58
327.28,Sep,1974.67
327.21,Oct,1974.75
328.29,Nov,1974.83
329.41,Dec,1974.92
330.23,Jan,1975.00
331.24,Feb,1975.08
331.87,Mar,1975.17
333.14,Apr,1975.25
333.8,May,1975.33
333.42,Jun,1975.42
331.73,Jul,1975.50
329.9,Aug,1975.58
328.4,Sep,1975.67
328.17,Oct,1975.75
329.32,Nov,1975.83
330.59,Dec,1975.92
331.58,Jan,1976.00
332.39,Feb,1976.08
333.33,Mar,1976.17
334.41,Apr,1976.25
334.71,May,1976.33
334.17,Jun,1976.42
332.88,Jul,1976.50
330.77,Aug,1976.58
329.14,Sep,1976.67
328.77,Oct,1976.75
330.14,Nov,1976.83
331.52,Dec,1976.92
332.75,Jan,1977.00
333.25,Feb,1977.08
334.53,Mar,1977.17
335.9,Apr,1977.25
336.57,May,1977.33
336.1,Jun,1977.42
334.76,Jul,1977.50
332.59,Aug,1977.58
331.41,Sep,1977.67
330.98,Oct,1977.75
332.24,Nov,1977.83
333.68,Dec,1977.92
334.8,Jan,1978.00
335.22,Feb,1978.08
336.47,Mar,1978.17
337.59,Apr,1978.25
337.84,May,1978.33
337.72,Jun,1978.42
336.37,Jul,1978.50
334.51,Aug,1978.58
332.6,Sep,1978.67
332.37,Oct,1978.75
333.75,Nov,1978.83
334.79,Dec,1978.92
336.05,Jan,1979.00
336.59,Feb,1979.08
337.79,Mar,1979.17
338.71,Apr,1979.25
339.3,May,1979.33
339.12,Jun,1979.42
337.56,Jul,1979.50
335.92,Aug,1979.58
333.74,Sep,1979.67
333.7,Oct,1979.75
335.13,Nov,1979.83
336.56,Dec,1979.92
337.84,Jan,1980.00
338.19,Feb,1980.08
339.9,Mar,1980.17
340.6,Apr,1980.25
341.29,May,1980.33
341,Jun,1980.42
339.39,Jul,1980.50
337.43,Aug,1980.58
335.72,Sep,1980.67
335.84,Oct,1980.75
336.93,Nov,1980.83
338.04,Dec,1980.92
339.06,Jan,1981.00
340.3,Feb,1981.08
341.21,Mar,1981.17
342.33,Apr,1981.25
342.74,May,1981.33
342.07,Jun,1981.42
340.32,Jul,1981.50
338.27,Aug,1981.58
336.52,Sep,1981.67
336.68,Oct,1981.75
338.19,Nov,1981.83
339.44,Dec,1981.92
340.57,Jan,1982.00
341.44,Feb,1982.08
342.53,Mar,1982.17
343.39,Apr,1982.25
343.96,May,1982.33
343.18,Jun,1982.42
341.88,Jul,1982.50
339.65,Aug,1982.58
337.8,Sep,1982.67
337.69,Oct,1982.75
339.09,Nov,1982.83
340.32,Dec,1982.92
341.2,Jan,1983.00
342.35,Feb,1983.08
342.93,Mar,1983.17
344.77,Apr,1983.25
345.58,May,1983.33
345.14,Jun,1983.42
343.81,Jul,1983.50
342.22,Aug,1983.58
339.69,Sep,1983.67
339.82,Oct,1983.75
340.98,Nov,1983.83
342.82,Dec,1983.92
343.52,Jan,1984.00
344.33,Feb,1984.08
345.11,Mar,1984.17
346.88,Apr,1984.25
347.25,May,1984.33
346.61,Jun,1984.42
345.22,Jul,1984.50
343.11,Aug,1984.58
340.9,Sep,1984.67
341.17,Oct,1984.75
342.8,Nov,1984.83
344.04,Dec,1984.92
344.79,Jan,1985.00
345.82,Feb,1985.08
347.25,Mar,1985.17
348.17,Apr,1985.25
348.75,May,1985.33
348.07,Jun,1985.42
346.38,Jul,1985.50
344.52,Aug,1985.58
342.92,Sep,1985.67
342.63,Oct,1985.75
344.06,Nov,1985.83
345.38,Dec,1985.92
346.12,Jan,1986.00
346.79,Feb,1986.08
347.69,Mar,1986.17
349.38,Apr,1986.25
350.04,May,1986.33
349.38,Jun,1986.42
347.78,Jul,1986.50
345.75,Aug,1986.58
344.7,Sep,1986.67
344.01,Oct,1986.75
345.5,Nov,1986.83
346.75,Dec,1986.92
347.86,Jan,1987.00
348.32,Feb,1987.08
349.26,Mar,1987.17
350.84,Apr,1987.25
351.7,May,1987.33
351.11,Jun,1987.42
349.37,Jul,1987.50
347.97,Aug,1987.58
346.31,Sep,1987.67
346.22,Oct,1987.75
347.68,Nov,1987.83
348.82,Dec,1987.92
350.29,Jan,1988.00
351.58,Feb,1988.08
352.08,Mar,1988.17
353.45,Apr,1988.25
354.08,May,1988.33
353.66,Jun,1988.42
352.25,Jul,1988.50
350.3,Aug,1988.58
348.58,Sep,1988.67
348.74,Oct,1988.75
349.93,Nov,1988.83
351.21,Dec,1988.92
352.62,Jan,1989.00
352.93,Feb,1989.08
353.54,Mar,1989.17
355.27,Apr,1989.25
355.52,May,1989.33
354.97,Jun,1989.42
353.74,Jul,1989.50
351.51,Aug,1989.58
349.63,Sep,1989.67
349.82,Oct,1989.75
351.12,Nov,1989.83
352.35,Dec,1989.92
353.47,Jan,1990.00
354.51,Feb,1990.08
355.18,Mar,1990.17
355.98,Apr,1990.25
356.94,May,1990.33
355.99,Jun,1990.42
354.58,Jul,1990.50
352.68,Aug,1990.58
350.72,Sep,1990.67
350.92,Oct,1990.75
352.55,Nov,1990.83
353.91,Dec,1990.92
